model,mse,mae,samples
pytorch_trained_models\model_320260526-105000.pht,1.0848547514883111,0.8237021497070115,619
pytorch_trained_models\model_420260526-105140.pht,1.1010738952094403,0.835422146108501,619
pytorch_trained_models\model_220260526-104832.pht,1.1475065043361583,0.8512093755078046,619
pytorch_trained_models\model_520260526-105325.pht,1.2024652792294306,0.8774825482838373,619
pytorch_trained_models\model_720260526-105652.pht,1.5399098126684136,0.9993058652985655,619
pytorch_trained_models\model_820260526-105826.pht,1.763763896097852,1.0972367242002719,619
pytorch_trained_models\model_120260526-104638.pht,1.8825880583730767,1.0960553312532737,619
pytorch_trained_models\model_1120260526-110324.pht,2.1172477216828427,1.2132072017343056,619
pytorch_trained_models\model_020260526-104456.pht,2.1940006447146514,1.2342633692628926,619
pytorch_trained_models\model_920260526-105956.pht,3.419208865558581,1.6055238443353064,619
pytorch_trained_models\model_620260526-105505.pht,3.7663982126362296,1.7110840916055854,619
pytorch_trained_models\model_1020260526-110144.pht,4.590680770997277,1.9131101999606377,619
pytorch_trained_models\model_1320260526-110627.pht,4.83661336082249,1.9806265268649346,619
pytorch_trained_models\model_1520260526-110934.pht,5.477297879960117,2.1205764148077404,619
pytorch_trained_models\model_1820260526-111423.pht,6.0350758147355235,2.242877568875068,619
pytorch_trained_models\model_1420260526-110806.pht,6.566271915959619,2.3619040980670296,619
pytorch_trained_models\model_2220260526-112031.pht,6.989374200824004,2.4430449151453564,619
pytorch_trained_models\model_2120260526-111907.pht,7.208175326395112,2.49516295770451,619
pytorch_trained_models\model_1220260526-110457.pht,7.335260135484242,2.4984693511814986,619
pytorch_trained_models\model_1920260526-111556.pht,7.514058003710622,2.5483814787980235,619
pytorch_trained_models\model_2020260526-111738.pht,7.959756755674791,2.635465908512738,619
pytorch_trained_models\model_2320260526-112202.pht,8.09216271617686,2.65736684968668,619
pytorch_trained_models\model_1720260526-111253.pht,8.354196798050346,2.6980861608354263,619
pytorch_trained_models\model_2420260526-112348.pht,9.112604834536551,2.8371681188728197,619
pytorch_trained_models\model_1620260526-111109.pht,10.14367074303943,3.0189138113585736,619
